Signature alg, Msg size, real, user, sys
aes-128-cbc, 1b, 1b, 0.01, 0.00, 0.00
aes-128-ecb, 1b, 1b, 0.00, 0.00, 0.00
aes-192-cbc, 1b, 1b, 0.00, 0.00, 0.00
aes-192-ecb, 1b, 1b, 0.00, 0.00, 0.00
aes-256-cbc, 1b, 1b, 0.00, 0.00, 0.00
aes-256-ecb, 1b, 1b, 0.00, 0.00, 0.00
aria-128-cbc, 1b, 1b, 0.00, 0.00, 0.00
aria-128-cfb, 1b, 1b, 0.00, 0.00, 0.00
aria-128-cfb1, 1b, 1b, 0.00, 0.00, 0.00
aria-128-cfb8, 1b, 1b, 0.00, 0.00, 0.00
aria-128-ctr, 1b, 1b, 0.00, 0.00, 0.00
aria-128-ecb, 1b, 1b, 0.00, 0.00, 0.00
aria-128-ofb, 1b, 1b, 0.00, 0.00, 0.00
aria-192-cbc, 1b, 1b, 0.00, 0.00, 0.00
aria-192-cfb, 1b, 1b, 0.00, 0.00, 0.00
aria-192-cfb1, 1b, 1b, 0.00, 0.00, 0.00
aria-192-cfb8, 1b, 1b, 0.00, 0.00, 0.00
aria-192-ctr, 1b, 1b, 0.00, 0.00, 0.00
aria-192-ecb, 1b, 1b, 0.00, 0.00, 0.00
aria-192-ofb, 1b, 1b, 0.00, 0.00, 0.00
aria-256-cbc, 1b, 1b, 0.00, 0.00, 0.00
aria-256-cfb, 1b, 1b, 0.00, 0.00, 0.00
aria-256-cfb1, 1b, 1b, 0.00, 0.00, 0.00
aria-256-cfb8, 1b, 1b, 0.00, 0.00, 0.00
aria-256-ctr, 1b, 1b, 0.00, 0.00, 0.00
aria-256-ecb, 1b, 1b, 0.00, 0.00, 0.00
aria-256-ofb, 1b, 1b, 0.00, 0.00, 0.00
base64, 1b, 1b, 0.00, 0.00, 0.00
bf, 1b, 1b, 0.00, 0.00, 0.00
bf-cbc, 1b, 1b, 0.00, 0.00, 0.00
bf-cfb, 1b, 1b, 0.00, 0.00, 0.00
bf-ecb, 1b, 1b, 0.00, 0.00, 0.00
bf-ofb, 1b, 1b, 0.00, 0.00, 0.00
camellia-128-cbc, 1b, 1b, 0.00, 0.00, 0.00
camellia-128-ecb, 1b, 1b, 0.00, 0.00, 0.00
camellia-192-cbc, 1b, 1b, 0.00, 0.00, 0.00
camellia-192-ecb, 1b, 1b, 0.00, 0.00, 0.00
camellia-256-cbc, 1b, 1b, 0.00, 0.00, 0.00
camellia-256-ecb, 1b, 1b, 0.00, 0.00, 0.00
cast, 1b, 1b, 0.00, 0.00, 0.00
cast-cbc, 1b, 1b, 0.00, 0.00, 0.00
cast5-cbc, 1b, 1b, 0.00, 0.00, 0.00
cast5-cfb, 1b, 1b, 0.00, 0.00, 0.00
