Algorithm, Msg size, Key size, real, user, sys
aes-128-cbc, 1b, 1b, 0.01, 0.00, 0.01
aes-128-cbc, 1b, 1K, 0.00, 0.00, 0.00
aes-128-cbc, 1b, 1M, 0.00, 0.00, 0.00
aes-128-cbc, 1b, 10M, 0.00, 0.00, 0.00
aes-128-cbc, 1b, 100M, 0.00, 0.00, 0.00
aes-128-ecb, 1b, 1b, 0.00, 0.00, 0.00
aes-128-ecb, 1b, 1K, 0.00, 0.00, 0.00
aes-128-ecb, 1b, 1M, 0.00, 0.00, 0.00
aes-128-ecb, 1b, 10M, 0.00, 0.00, 0.00
aes-128-ecb, 1b, 100M, 0.00, 0.00, 0.00
aes-192-cbc, 1b, 1b, 0.00, 0.00, 0.00
aes-192-cbc, 1b, 1K, 0.00, 0.00, 0.00
aes-192-cbc, 1b, 1M, 0.00, 0.00, 0.00
aes-192-cbc, 1b, 10M, 0.00, 0.00, 0.00
aes-192-cbc, 1b, 100M, 0.00, 0.00, 0.00
aes-192-ecb, 1b, 1b, 0.00, 0.00, 0.00
aes-192-ecb, 1b, 1K, 0.00, 0.00, 0.00
aes-192-ecb, 1b, 1M, 0.00, 0.00, 0.00
aes-192-ecb, 1b, 10M, 0.00, 0.00, 0.00
aes-192-ecb, 1b, 100M, 0.00, 0.00, 0.00
aes-256-cbc, 1b, 1b, 0.00, 0.00, 0.00
aes-256-cbc, 1b, 1K, 0.00, 0.00, 0.00
aes-256-cbc, 1b, 1M, 0.00, 0.00, 0.00
aes-256-cbc, 1b, 10M, 0.00, 0.00, 0.00
aes-256-cbc, 1b, 100M, 0.00, 0.00, 0.00
aes-256-ecb, 1b, 1b, 0.00, 0.00, 0.00
aes-256-ecb, 1b, 1K, 0.00, 0.00, 0.00
aes-256-ecb, 1b, 1M, 0.00, 0.00, 0.00
aes-256-ecb, 1b, 10M, 0.00, 0.00, 0.00
aes-256-ecb, 1b, 100M, 0.00, 0.00, 0.00
aria-128-cbc, 1b, 1b, 0.00, 0.00, 0.00
aria-128-cbc, 1b, 1K, 0.00, 0.00, 0.00
aria-128-cbc, 1b, 1M, 0.00, 0.00, 0.00
aria-128-cbc, 1b, 10M, 0.00, 0.00, 0.00
aria-128-cbc, 1b, 100M, 0.00, 0.00, 0.00
aria-128-cfb, 1b, 1b, 0.00, 0.00, 0.00
aria-128-cfb, 1b, 1K, 0.00, 0.00, 0.00
aria-128-cfb, 1b, 1M, 0.00, 0.00, 0.00
aria-128-cfb, 1b, 10M, 0.00, 0.00, 0.00
aria-128-cfb, 1b, 100M, 0.00, 0.00, 0.00
aria-128-cfb1, 1b, 1b, 0.00, 0.00, 0.00
aria-128-cfb1, 1b, 1K, 0.00, 0.00, 0.00
aria-128-cfb1, 1b, 1M, 0.00, 0.00, 0.00
aria-128-cfb1, 1b, 10M, 0.00, 0.00, 0.00
aria-128-cfb1, 1b, 100M, 0.00, 0.00, 0.00
aria-128-cfb8, 1b, 1b, 0.00, 0.00, 0.00
aria-128-cfb8, 1b, 1K, 0.00, 0.00, 0.00
aria-128-cfb8, 1b, 1M, 0.00, 0.00, 0.00
aria-128-cfb8, 1b, 10M, 0.00, 0.00, 0.00
aria-128-cfb8, 1b, 100M, 0.00, 0.00, 0.00
aria-128-ctr, 1b, 1b, 0.00, 0.00, 0.00
aria-128-ctr, 1b, 1K, 0.00, 0.00, 0.00
aria-128-ctr, 1b, 1M, 0.00, 0.00, 0.00
aria-128-ctr, 1b, 10M, 0.00, 0.00, 0.00
aria-128-ctr, 1b, 100M, 0.00, 0.00, 0.00
aria-128-ecb, 1b, 1b, 0.00, 0.00, 0.00
aria-128-ecb, 1b, 1K, 0.00, 0.00, 0.00
aria-128-ecb, 1b, 1M, 0.00, 0.00, 0.00
aria-128-ecb, 1b, 10M, 0.00, 0.00, 0.00
aria-128-ecb, 1b, 100M, 0.00, 0.00, 0.00
aria-128-ofb, 1b, 1b, 0.00, 0.00, 0.00
aria-128-ofb, 1b, 1K, 0.00, 0.00, 0.00
aria-128-ofb, 1b, 1M, 0.00, 0.00, 0.00
aria-128-ofb, 1b, 10M, 0.00, 0.00, 0.00
aria-128-ofb, 1b, 100M, 0.00, 0.00, 0.00
aria-192-cbc, 1b, 1b, 0.00, 0.00, 0.00
aria-192-cbc, 1b, 1K, 0.00, 0.00, 0.00
aria-192-cbc, 1b, 1M, 0.00, 0.00, 0.00
aria-192-cbc, 1b, 10M, 0.00, 0.00, 0.00
aria-192-cbc, 1b, 100M, 0.00, 0.00, 0.00
aria-192-cfb, 1b, 1b, 0.00, 0.00, 0.00
aria-192-cfb, 1b, 1K, 0.00, 0.00, 0.00
aria-192-cfb, 1b, 1M, 0.00, 0.00, 0.00
aria-192-cfb, 1b, 10M, 0.00, 0.00, 0.00
aria-192-cfb, 1b, 100M, 0.00, 0.00, 0.00
aria-192-cfb1, 1b, 1b, 0.00, 0.00, 0.00
aria-192-cfb1, 1b, 1K, 0.00, 0.00, 0.00
aria-192-cfb1, 1b, 1M, 0.00, 0.00, 0.00
aria-192-cfb1, 1b, 10M, 0.00, 0.00, 0.00
aria-192-cfb1, 1b, 100M, 0.00, 0.00, 0.00
aria-192-cfb8, 1b, 1b, 0.00, 0.00, 0.00
aria-192-cfb8, 1b, 1K, 0.00, 0.00, 0.00
aria-192-cfb8, 1b, 1M, 0.00, 0.00, 0.00
aria-192-cfb8, 1b, 10M, 0.00, 0.00, 0.00
aria-192-cfb8, 1b, 100M, 0.00, 0.00, 0.00
aria-192-ctr, 1b, 1b, 0.00, 0.00, 0.00
aria-192-ctr, 1b, 1K, 0.00, 0.00, 0.00
aria-192-ctr, 1b, 1M, 0.00, 0.00, 0.00
aria-192-ctr, 1b, 10M, 0.00, 0.00, 0.00
aria-192-ctr, 1b, 100M, 0.00, 0.00, 0.00
aria-192-ecb, 1b, 1b, 0.00, 0.00, 0.00
aria-192-ecb, 1b, 1K, 0.00, 0.00, 0.00
